study_accession	fetch_status	n_samples	children
PRJNA273761	OK	60	
PRJNA945365	OK	15	
PRJNA1204506	OK	5	
PRJDB38794	OK	8	
PRJEB28237	OK	191	
PRJEB86255	OK	720	
PRJEB66224	OK	20	
PRJNA389749	OK	8	
PRJNA524980	OK	9	
PRJDB31830	OK	79	
PRJNA301903	OK	422	
PRJNA991262	OK	11	
PRJDB38277	OK	51	
PRJEB71372	OK	123	
PRJEB27498	OK	6	
PRJNA861716	OK	359	
PRJEB62783	OK	30	
PRJEB4391	OK	36	
PRJEB86262	OK	432	
PRJEB31009	OK	24	
PRJEB22973	OK	245	
PRJEB13870	OK	196	
PRJEB10878	OK	128	
PRJNA825133	OK	6	
PRJNA1141435	OK	62	
PRJEB81804	OK	573	
PRJNA667194	OK	1	
PRJNA375762	OK	12	
PRJNA738684	OK	52	
PRJNA1025260	OK	35	
PRJEB23561	OK	82	
PRJNA312222	OK	4	
PRJNA1302757	OK	9	
PRJNA1253095	OK	10	
PRJNA894343	OK	60	
PRJEB14312	OK	5	
PRJNA717669	OK	12	
PRJEB73511	OK	47	
PRJNA475948	OK	2	
PRJNA609596	OK	74	
PRJNA1010388	OK	109	
PRJNA744378	OK	30	
PRJNA1066198	OK	49	
PRJNA671703	OK	229	
PRJNA1184324	OK	20	
PRJNA541820	OK	8	
PRJNA479518	OK	80	
PRJNA1067415	OK	3	
PRJNA1086397	OK	184	
PRJNA932553	OK	48	
PRJDB20286	OK	14	
PRJNA953147	OK	20	
PRJEB81709	OK	173	
PRJNA753312	OK	24	
PRJEB88012	OK	24	
PRJNA1234694	OK	9	
PRJEB52043	OK	97	
PRJNA1006316	OK	350	
PRJNA1161616	OK	1	
PRJNA924548	OK	15	
PRJNA944265	OK	11	
PRJNA1297587	OK	16	
PRJNA297579	OK	31	
PRJNA509211	OK	28	
PRJNA271123	OK	1	
PRJNA750644	OK	6	
PRJNA641765	OK	1	
PRJEB48382	OK	120	
PRJNA966790	OK	105	
PRJEB59225	OK	6	
PRJNA730805	OK	30	
PRJNA738608	OK	107	
PRJNA758898	OK	16	
PRJNA1098026	OK	21	
PRJNA751718	OK	2	
PRJNA1067380	OK	3	
PRJNA843079	OK	51	
PRJNA389470	OK	113	
PRJNA1119051	OK	55	
PRJEB57214	OK	145	
PRJNA1052069	OK	134	
PRJEB40767	OK	157	
PRJEB21599	OK	1	
PRJNA1026073	OK	1	
PRJNA865544	OK	1	
PRJNA255439	OK	32	
PRJNA645015	OK	125	
PRJDB20287	OK	1	
PRJNA1040965	OK	20	
PRJNA712972	OK	6	
PRJDB20379	OK	63	
PRJNA1061805	OK	3	
PRJEB37383	OK	12	
PRJEB52269	OK	64	
PRJNA881985	OK	119	
PRJNA995784	OK	52	
PRJNA913821	OK	9	
PRJNA915351	OK	16	
PRJNA977416	OK	21	
PRJNA1243555	OK	20	
PRJNA655594	OK	10	
PRJNA1157353	OK	200	
