study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJNA816829	gut metagenome Raw sequence reads	gut metagenome of rat	rat	biome_label	GUT	sample_fields	gut: feces, gut
PRJNA1044797	Metagenomic survey of commercial and wild bee gut microbiotas	We performed shot gun metagenomic sequencing of the gut microbiotas of commercial and wild Bombus impatiens workers, as well as wild B. rufocinctus, B. ternarius, and B. vagans workers, to compare strain composition and metabolic potential between commercial and wild bumble bees, and across wild bumble bee species.	Bombus impatiens; Bombus rufocinctus; Bombus ternarius; Bombus vagans	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1033630	BeeCSI Microbiomics: honey bee gut metagenomes from exposure experiments	BeeCSI is a honey bee (Apis mellifera) health diagnostics project with the aim of identifying stressor-specific biomarkers via 'omics tools. Experimental exposure experiments were performed and biological data collected (microbiome, proteomics, transcriptomics). Here, the whole metagenome shotgun sequencing data are presented. The data is organized into two main subgroups, caged bee stressor experiments (Activity 1) and colony crop exposure experiments (Activity 2).	Apis mellifera	ena_study_text	GUT	ena_study_text	gut: gut
PRJNA1124990	Canadian Bee Microbome Metagenomic Sequencing in Proximity to Highbush Blueberry	The purpose of this study was to investigate the gut microbiome of bees in response to proximity of specific crops throughout Canada	Apis mellifera	ena_host_field	GUT	sample_fields	gut: gut
PRJNA999720	Canadian Bee Microbome Metagenomic Sequencing in Proximity to Specific Crops	The purpose of this study was to investigate the gut microbiome of bees in response to proximity of specific crops throughout Canada	Apis mellifera	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1130047	Fecal metagenomics analysis of mice treated with Faecalibacterium prausnitzii strain UT1	Metagenomics sequence reads of fecal samples collected from C57BL/6 mice gavaged with Faecalibacterium prausnitzii strain UT1 compared to PBS	Mus musculus	ena_study_text	GUT	ena_study_text	gut: fecal
PRJEB43192	HoloFood Super Study	Optimising food production is not only of commercial interest for companies, but with the planetâs population approaching the nine billion mark, also of critical importance for humanity. Animal food production can be optimised by modulating animal-associated microbiomes through the use of feed additives such as prebiotics and probiotics. Previously developed feed additives have not acknowledged the specific means of action of the additives on the microbiome and host organisms, and consequently i) their performance is inconsistent across animals with different genetic background and when grown under different environments, ii) improvement of feed additives is inefficient and costly, and iii) optimal solutions are unlikely to be found without taking a more holistic approach. HoloFood showcases a holistic approach that will improve the efficiency of food production systems by deciphering the molecular and physiological processes triggered by feed additives across animals with different genetic background and grown under different environments. We will use two critically important farmed animal systems as our models -salmon and chicken- and characterise not only their associated microorganismsâ genomes, transcriptomes and metabolomes but also how the microbiome interacts with animals' genomes and transcriptomes within the new holo-omic framework in relation to key performance indices and animal welfare issues. The knowledge generated will be used to optimise feed additive administration strategies of already implemented products by tailoring them to the genetic background and developmental stage of the animals as well as production environment, to improve the quantity, quality and safety of the produced food, as well as sustainability of food production and animal welfare. HoloFood will also serve to raise awareness about the importance of microbiomes in food production, and to establish bridges between companies and academia to foster science-based strategies.	Salmo salar; Gallus gallus	ena_study_text	UNCERTAIN	none	
PRJNA1108898	Viridovipera stejnegeri Raw sequence reads	metagenomic of viridovipera stejnegeri	Trimeresurus stejnegeri	ena_host_field	UNCERTAIN	none	
PRJNA1108923	Viridovipera stejnegeri Raw sequence reads	metagenomic of Viridovipera stejnegeri 1	Trimeresurus stejnegeri	ena_host_field	UNCERTAIN	none	
PRJNA1180206	gut metagenome Metagenome	The project investigates the metabolism of branched-chain amino acids in the gut microbiota and the impact of their metabolites on the gut microbiota of D-galactose-induced aging mice.	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJNA1102166	metagenome of intestine	metagenome of intestine in Coilia nasus induced by probiotics added in diet and water	Coilia nasus	ena_study_text	GUT	ena_study_text	gut: intestine
PRJNA1165944	Bovine rumen macrogenome sequencing	Investigating MSTN gene edited bovine rumen macrogenomic changes	Bos taurus	ena_host_field	GUT	sample_fields	gut: rumen
PRJNA560329	Phylogenomic analysis of 589 metagenome-assembled genomes encompassing all major prokaryotic lineages from the gut of higher termites	Reconstruction of 589 prokaryotic metagenome-assembled genomes (MAGs) from the different gut compartments of eight higher termite species.	Cornitermes sp.; Embiratermes neotenicus; Isognathotermes ugandensis; Labiotermes labralis; Microcerotermes parvus; Nasutitermes corniger; Neocapritermes taracua; Termes hospes	ena_host_field	GUT	sample_fields	gut: gut, midgut
PRJNA732531	Gut metagenomes from 48 lower and higher termites	Metagenomic (Illumina sequencing) data from the gut of 48 species of lower and higher termites	Alyscotermes sp.; Astalotermes quietus; Calcaritermes temnocephalus; Coatitermes kartaboensis; Constrictotermes cavifrons; Coptotermes formosanus; Cornitermes pugnax; Crepititermes verruculosus; Cryptotermes cavifrons; Cryptotermes dudleyi; Cylindrotermes parvignathus; Dicuspiditermes spinitibialis; Euhamitermes sp.; Furculitermes sp.; Globitermes sulphureus; Glyptotermes sp.; Hodotermes mossambicus; Hodotermopsis sjostedti; Incisitermes marginipennis; Incisitermes snyderi; Jugositermes tuberculatus; Kalotermes flavicollis; Macrotermes cf. amplus; Mastotermes darwiniensis; Microcerotermes sp.; Nasutitermes ephratae; Nasutitermes lujae; Neocapritermes taracua; Neotermes castaneus; Neotermes cubanus; Neotermes meruensis; Odontotermes sp.; Palmitermes impostor; Polyspathotermes sulcifrons; Porotermes adamsoni; Porotermes quadricollis; Procryptotermes leewardensis; Procubitermes undulans; Promirotermes sp.; Prorhinotermes canalifrons; Reticulitermes flavipes; Roisinitermes ebogoensis; Sphaerotermes sphaerothorax; Spinitermes trispinosus; Trinervitermes sp.; Zootermopsis nevadensis	ena_host_field	GUT	sample_fields	gut: gut
PRJEB73709	Deep-characterisation of the gut bacterial and viral populations in angiotensin II-induced hypertension in mice	The gut microbiome is an emerging factor in preventing hypertension. However, most studies focus on bacterial populations, not being inclusive of other important microorganisms such as viruses. Here, we combine the strengths of viral-like particles (VLPs) and bulk metagenomic-wide analysis to comprehensively study the link between the gut bacterial and viral populations, as well as bacterial functional genes, in experimental hypertension and their link with fibre intake.	Mus musculus	biome_label	GUT	sample_fields	gut: gut
PRJNA1151203	metagenome of monkey gut	gut metagenome of Himalayan Langurs (Semnopithecus schistaceus) and Xizang Macaques (Macaca mulatta vestita)	Macaca mulatta vestita; Semnopithecus schistaceus	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1123873	Metagenomic profiling of gut microbiota in Spodoptera frugiperda larvae fed on different host plants	This study utilized metagenomic sequencing to explore the structure, function, and antibiotic resistance genes (ARGs) of the gut microbiota in FAW larvae transferred from an artificial diet to different host plants (maize, sorghum, tomato, and pepper).	Spodoptera frugiperda	ena_study_text	GUT	sample_fields	gut: gut
PRJNA1031700	Metagenome	Nutrition and gut microbiota	Mus musculus	ena_host_field	GUT	sample_fields	gut: colonic, feces, gut
PRJNA1135459	Assessment of the potential risks in SD rats gavaged with genetically modified yeast containing the cp4-epsps gene	This study evaluates the potential risk of CP4-EPSPS protein in genetically modified (GM) crops. The expression level of CP4-EPSPS in recombinant yeast was quantified to establish daily dosage for gavage. A 90-day feeding experiment on Sprague-Dawley (SD) rats was conducted, with subsequent metabolomics and metagenomic analysis. The results from the physiological and biochemical analysis, organ pathological, blood metabolism, gut microbiota, and correlation analysis of metabolites and gut microbiota revealed several biomarkers for further risk assessment. These include clinical biochemical indexes such as total bilirubin (TBIL), direct bilirubin (DBIL), creatine kinase (CK), and lactate dehydrogenase (LDH) metabolites like Methionine, 2-Oxovaleric acid, and LysoPC (16:0) and gut microbiota including Blautia wexlerae, Holdemanella biformis, Dorea sp CAG 317, Coriobacteriaceae and Erysipelotrichaceae.This study also found that the risk associated with activated recombinant CP4-EPSPS can be substantially mitigated through inactivation. Thus, in routine life, the risk associated with consuming GM foods containing recombinant CP4-EPSPS is substantially reduced after heat treatment.	DNA-Seq of Mus musculus: adult female spleen; Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA952227	Early Life TCDF exposure	metagenomics and transcriptomics data for the Early life TCDF paper	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1108955	Lycodon rufozonatus and Lycodon rosozonatus were collected from different regions Raw sequence reads	The results obtained through high-throughput sequencing were used to study the differences between the two snakes and their intestinal microbial composition.	Lycodon rosozonatus; Lycodon rufozonatus	ena_host_field	GUT	ena_study_text	gut: intestinal
PRJNA1144187	snakes Raw sequence reads	mtagenomic of Achalinus spinalis</p><p>mtagenomic of Boiga kraepelini</p><p>mtagenomic of Deinagkistrodon</p><p>mtagenomic of Elaphe carinata</p><p>mtagenomic of Eryx tataricus</p><p>mtagenomic of Euprepiophis mandarinus</p><p>mtagenomic of Gloydius angusticeps</p><p>mtagenomic of Hebius craspedogaster</p><p>mtagenomic of Oligodon chinensis</p><p>mtagenomic of Opisthotropis latouchii</p><p>mtagenomic of Pareas hamptoni</p><p>mtagenomic of Pareas margaritophorus</p><p>mtagenomic of Ptyas dhumnades</p><p>mtagenomic of Rhabdophis nuchalis</p><p>mtagenomic of Sibynophis chinensis</p><p>mtagenomic of Thermophis baileyi</p><p>mtagenomic of Thermophis zhaoermii</p><p>mtagenomic of Trimerodytes annularis</p><p>mtagenomic of Trimerodytes percarinatus</p><p>mtagenomic of Xenopeltis hainanensis</p><p>mtagenomic of Boiga multomaculata</p><p>mtagenomic of Trimeresurus yunnanensis	snake	biome_label	UNCERTAIN	none	
PRJNA1302101	Hi-C metagenome analyses of double-crested cormorant fecal samples	The Double-crested Cormorant (Nannopterum auritus), a fish-eating bird endemic to North America, heavily utilizes aquaculture ponds during migration and wintering. Catfish farms in the Southern United States, particularly in Mississippi, have experienced notable losses due to cormorant depredation. In this study, we analyzed fecal microbiota from two Double-crested Cormorants using sequencing data generated through Phase Genomics ProxiMeta and Hi-C platforms. Findings will help to identify that cormorants contribution to the influx of diverse bacterial species within aquaculture ponds, potentially transmitting multiple antibiotic resistance genes and disseminating antimicrobial resistance within the environment.	Phalacrocorax auritus	ena_host_field	GUT	sample_fields	gut: fecal, gut
PRJNA1477333	Investigation of the effect of TiO2 as a dietary marker on broiler intestinal fermentation: combination of ex vivo simulation and in vivo approach	Inert substances used to measure digestion in animal studies are generally assumed to be inactive, but their effects on intestinal microbiota and metabolism are not fully understood. This study examined whether titanium dioxide, a commonly used feed marker, influences gut bacteria in broiler chickens. Using both laboratory and animal experiments, titanium dioxide was found to reduce fermentation in the ileum but increased it in the caecum. It did not affect growth performance or overall health. However, it altered fermentation patterns and increased microbial diversity in the lower gut, including bacteria associated with protein breakdown. Overall, these findings suggest that titanium dioxide can influence gut microbial activity, indicating that such markers may not be completely inert and should be used with caution.	Gallus gallus	ena_study_text	GUT	ena_study_text	gut: caecum, gut, ileum, intestinal
PRJNA1442370	High-altitude adaptation of the gut microbiome in endangered forest musk deer: evidence from integrated metagenomics, metabolomics, and culturomics	High-altitude environments impose multifaceted selective pressures--hypoxia, cold, and intense UV irradiance--on mammals and their symbiotic gut microbiota. Whether gut microbial communities undergo adaptive restructuring in response to these pressures, and whether such restructuring carries translational value for captive conservation management of endangered species, remain fundamental yet unresolved questions in evolutionary conservation biology. Here, we integrated deep shotgun metagenomics (>=15 Gb per sample), untargeted fecal metabolomics, and culturomics-based strain recovery to characterize the gut microbiome-metabolome axis in 75 captive forest musk deer (Moschus berezovskii Flerov, 1929) housed at high-altitude (ca.3,900 m) and low-altitude (ca.1,450 m) breeding facilities under uniform husbandry. Neutral community modeling revealed that the high-altitude gut microbiome is governed by significantly stronger deterministic ecological selection (only 34.3% of species conformed to neutral expectations vs. 89.3% at low altitude), consistent with adaptive environmental filtering. This selective regime enriched a functionally coherent guild of short-chain fatty acid (SCFA)-producing bacteria--centered on Flavonifractor plautii, Intestinimonas butyriciproducens, and Enterococcus faecium--that formed antagonistic co-occurrence networks with opportunistic pathogens including Clostridioides difficile and Campylobacter species, a pattern convergent with SCFA-enrichment reported in phylogenetically diverse high-altitude mammals. Concurrently, fecal metabolomics revealed coordinated shifts in urolithin biosynthesis, tryptophan-kynurenine pathway branch-specific regulation, and energy metabolism remodeling, all robustly predicted by microbiome composition via neural network modeling. Culturomics-based phenotypic screening yielded seven probiotic candidates with confirmed gastrointestinal stress tolerance and broad-spectrum pathogen-antagonistic activity in vitro. These findings yield a directly actionable, practical framework for altitude-informed facility siting, fecal microbiota transplant donor selection, host-derived probiotic development, and non-invasive health surveillance in captive endangered species. These findings illustrate how evolutionary analysis of host-microbiome adaptation to altitude can be translated into evidence-based conservation strategies, and this evolutionary framework is broadly transferable to other endangered taxa facing microbiome-associated disease pressure in captivity.	Moschus berezovskii	ena_study_text	GUT	ena_study_text	gut: fecal, gastrointestinal, gut, intestinimonas
PRJEB107655	Functional profiling of the marmoset gut metagenome after antibiotic treatment	Broad-spectrum antibiotics are invaluable tools to treat a wide variety of pathogenic infections, but their sustained use can contribute to the development of gut dysbiosis and antimicrobial resistance. While these unintended side effects are independently well-documented, the relationship between them has seldom been investigated. To address this, the present study used quantitative polymerase chain reaction assays and a custom whole-genome shotgun sequencing pipeline to quantify the effect of a 28-day antibiotic cocktail (vancomycin, neomycin and enrofloxacin) on gut microbiome composition and function in common marmosets. We observed a genus-level reduction of Bifidobacterium biomass in favor of Fusobacterium, both during antibiotic treatment and 2 weeks afterwards. Total bacterial abundance was not significantly affected by antibiotics, likely due to the presence of antibiotic-resistant opportunists. Resistance genes for vancomycin and multi-drug efflux were respectively identified in metagenome-assembled genomes for an unclassified Sarcina spp. and Escherichia coli, along with a corresponding increase in species abundance during treatment. Antibiotics also caused the dysregulation of 11 metagenomic pathways related to carbohydrate metabolism, including 2 pathways relevant to short-chain fatty acid production. This study validates key findings from a previous study on antibiotic-induced gut dysbiosis and provides additional insight into antimicrobial resistance mechanisms in non-human primates.	Callithrix jacchus	ena_host_field	GUT	ena_study_text	gut: gut
PRJEB50625	MicroReset rabbit	Characterization of the rabbit (Oryctolagus cuniculus) fecal metagenome by deep shotgun sequencing. The MicroReset Project was funded by the Animal Health program of the Carnot Institute in France. Sequencing data was generated by Genotoul (Toulouse, France).	Oryctolagus cuniculus	biome_label	GUT	sample_fields	gut: gut, intestine
PRJEB82776	Host and maternal effects on the microbiome profile and its association with growth performance and meat quality of two Iberian pig strains and their reciprocal crosses	The aim of this project was to study the gut microbiome profile of the EE, RR, ER and RE Iberian pig strains and its association with maternal effect and host genetics, in order to understand the mechanism underlying growth performance and meat quality traits in the Iberian pig.	Sus scrofa	ena_host_field	GUT	ena_study_text	gut: gut
PRJNA1056763	Comparison of the digestive tract microbiota and resistome in grass-fed and grain-fed cattle	These data are from a study done to compare the microbiota (abundance and type of bacterial species) and resistome (antibiotic resistance genes) in grass-fed (system A) versus conventionally raised grain-fed beef (system B). Fecal swabs were collected from system A calves at multiple time points including pre-weaning, post-weaning, summer, and winter. Fecal swabs were collected from system B cows at four dietary stages: preweaning, transition, backgrounding, and finishing. Preharvest fecal swabs were also collected from cows in both agricultural systems. DNA was extracted from fecal swabs and Illumina-based shotgun metagenomic sequencing was used to characterize the microbiome.	Bos taurus	ena_host_field	GUT	sample_fields	gut: gut, rectal
PRJNA1212753	Effects of yeast-enriched functionalized canola meal supplementation on apparent total tract macronutrient digestibility and fecal characteristics, fecal microbiota, and immune function of healthy adult dogs	Brewer's dried yeast has a high nutritional value and has long been utilized by the animal feed industry as a source of protein, B-complex vitamins, and minerals. Because yeast is rich in polyphenols, mannanoligosaccharides, and beta-glucans, it may also be used as a functional ingredient, providing benefits beyond that of its nutrient content. Canola meal is a high-fiber ingredient that also has unique properties, especially when it is wetted and dried using a proprietary drying system that creates a 'functionalized' canola meal. In this experiment, functionalized canola meal was enriched with different levels of brewer's dried yeast, then fed to dogs to evaluate its effects on nutrient digestibility, stool characteristics, microbiota populations, and immunity.	Canis lupus familiaris	ena_study_text	GUT	ena_study_text	gut: fecal, stool
PRJNA1367213	Metagenomic sequencing of different gastrointestinal segments in sheep	Metagenomic sequencing of different gastrointestinal segments in sheep	Ovis aries	ena_study_text	GUT	sample_fields	gut: gastrointestinal
PRJNA795985	Shotgun metagenome sequencing of fecal samples from healthy US adults	Antimicrobial resistance (AMR) represents a significant source of morbidity and mortality worldwide, with expectations that AMR-associated consequences will continue to worsen throughout the coming decades. Since resistance to antibiotics is encoded in the microbiome, interventions aimed at altering the taxonomic composition of the gut might allow us to prophylactically engineer microbiomes that harbor less AMR. Diet is one method of intervention, yet little is known about the association between diet and antimicrobial resistance. We sequenced the microbial DNA in 290 individuals' guts and examined the relationship between genes that confer antimicrobial resistance with the individuals' diets.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA988023	Effects of BMD administration on the Turkey gut microbiota	This study examines the impacts of BMD administration of the gut microbiota of turkeys. Three different treatments were investigated, control, sub-therapeutic levels of BMD, and therapeutic levels of BMD. Shotgun metagenomic reads were generated from cecal contents at days 7, 35, and 78 post hatch.	Meleagris gallopavo	ena_host_field	GUT	sample_fields	gut: cecal, gut
PRJNA1475489	Brain Health and the Gut Microbiome (bMicrobiome Study)	This prospective, proof-of-concept study integrated multidimensional phenotyping with metagenomic sequencing (shotgun) in adults (50-90 years) around Washington, DC. Participants were classified as healthy controls (HC) or mild cognitive impairment (MCI) by clinical history early Alzheimer's disease (eAD) participants were unable to complete study requirements. Longitudinal assessment used Boston Cognitive Assessment (BoCA), patient-reported outcomes (PROMIS-29), dietary intake and quality (DietID), readiness-for-change (adapted URICA), at-home stool sample collection.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJNA1320715	Aging of the adaptive immune system affects the gut microbiome	Aging of the adaptive immune system affects the gut microbiome and systemic levels of vitamin B6	Mus musculus	ena_host_field	GUT	sample_fields	gut: stool
PRJNA1097789	Sequencing of the gut microbiome of Drosophila melanogaster	The gut microbial communities associated with Drosophila melanogaster have been characterized.	Drosophila melanogaster	ena_host_field	GUT	ena_study_text	gut: gut
PRJEB106514	Wits Etosha Lion Gut Microbiome Project	Metagenomic study of the gut microbiome of African lions (Panthera leo). This project includes Illumina short-read sequencing of 23 samples from 20 individual lions (3 sampled at two timepoints, first collection May 2022, second October 2022), Oxford Nanopore long-read sequencing for a subset of 10 lions, and metagenome-assembled genomes derived from these samples. The lions were all wild and resident at the Etosha National Park in Namibia.	Panthera leo	ena_host_field	GUT	ena_study_text	gut: gut
PRJNA1399069	Metagenomic sequencing of gut contents from five freshwater fish species	Comparative analysis of gut microbiota from different fish species	fish	ena_study_text	GUT	ena_study_text	gut: gut
PRJEB88111	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	Comparison between metagenomics and culture-based methods in detection of bacterial pathogens and antimicrobial resistance genes in pigs with with diarrhea	Sus scrofa	ena_host_field	GUT	sample_fields	gut: faeces
PRJNA1376267	cat gut microbiome	Metagenomics sequencing data	Felis catus	ena_study_text	GUT	sample_fields	gut: gut
PRJNA1434035	Urolithin-producing culture from the faecal matter of Sprague Dawley Rats	This study aims to (i) evaluate the capacity of Sprague Dawley rat gut microbiota to produce Uro from an ET-rich fruit by-products substrate, (ii) assess factors influencing conversion efficiency relative to EA, (iii) characterise taxonomic and functional features associated with Uro-producing microbial consortia, and (iv) evaluate the sequence similarity of predicted microbial proteins to previously characterised Uro-associated enzymes to explore potential conservation or divergence of the Uro biosynthetic pathway.	Rattus norvegicus	ena_study_text	GUT	ena_study_text	gut: faecal, gut
PRJNA1157396	Gut microbiota impairs spermatogenesis in Ggt1-deficient mice	This study investigates the relationship between male infertility and gut microbiota dysbiosis, focusing on its impact on spermatogenesis. RNA sequencing and fecal metagenomic analysis were performed on wild-type (WT) mice and gamma-glutamyltransferase 1 knockout (KO) mice. Additional transcriptomic and fecal metagenomic analyses were conducted on mice after fecal microbiota transplantation (FMT), including those receiving fecal microbiota from WT mice (FMT-WT) and those receiving fecal microbiota from KO mice (FMT-KO). KO mice exhibit features of male infertility, such as reduced numbers of germ cells and Leydig cells in the testes, as well as an increased proportion of abnormal sperm. Metagenomic analysis of fecal microbiota reveals significant differences between KO and WT mice. Transplantation of fecal microbiota from KO mice results in decreased germ cell and sperm counts, and an increased proportion of abnormal sperm in recipient mice. Transcriptomic analysis shows reduced expression levels of kallikrein family members (Klk1b21, Klk1b22, Klk1b24, Klk1b27) in Leydig cells of KO and FMT-KO mice.	Mus musculus	ena_host_field	GUT	sample_fields	gut: fecal, feces
PRJNA1263030	Metagenomic data of rumen fluid from sheep	This study investigated the changes of rumen microbiota in sheep with AFB1 interference, and how nutrient alleviated AFB1-induced rumen microbiota disorder in sheep.	Ovis aries	ena_host_field	GUT	ena_study_text	gut: rumen
PRJNA1154995	Gut microbiomes of wildlife with different diets under conservation	A Non-Invasive Fecal Analysis	protected wild animals	paper	GUT	sample_fields	gut: feces
PRJEB29232	Gut microbiome community structure correlates with different behavioral phenotypes in the Belyaev farm-fox experiment	Domestication represents one of the largest biological shifts of life on Earth, and for many animal species, behavioral selection is thought to facilitate early stages of the process. The gut microbiome of animals can respond to environmental changes and have diverse and powerful effects on host behavior. As such, we hypothesize that selection for tame behavior during early domestication, may have indirectly selected on certain gut microbiota that contribute to the behavioral plasticity necessary to adapt to the new social environment. Here, we explore the gut microbiome of foxes from the tame and aggressive strains of the âRussian-Farm-Fox-Experimentâ. Microbiota profiles revealed a significant depletion of bacteria in the tame fox population that have been associated with aggressive and fear-related behaviors in other mammals. Our metagenomic survey allowed for the reconstruction of microbial pathways enriched in the gut of tame foxes, such as glutamate degradation, which converged with host genetic and physiological signals, revealing a potential role of functional host-microbiota interactions that could influence behaviors associated with domestication. Overall, by characterizing how compositional and functional potential of the gut microbiota and host behaviors co-vary during early animal domestication, we provide further insight into our mechanistic understanding of this adaptive, eco-evolutionary process.	Vulpes vulpes	ena_host_field	GUT	ena_study_text	gut: gut
PRJNA1399070	Comparative analysis of gut microbiota and metabolome of captive male Malayan pangolins with normal and abnormal reproduction	This study investigated the effects of gut microbiota and metabolites on the reproductive performance (normal and abnormal reproduction) of male pangolins under captive conditions. The results showed that certain key microbiota and metabolites do indeed have a significant impact on reproductive performance. These findings provide a reference for the captive breeding of pangolins and even other endangered wild animals, and have important implications for their husbandry and management.	Manis javanica	ena_study_text	GUT	ena_study_text	gut: gut
PRJNA1054518	Metagenomic sequencing of diversity outbred mice on dietary restriction	We performed longitudinal metagenomic sequencing of the gastrointestinal microbiome from more than 900 genetically diverse, female mice undergoing dietary restriction. The genetically diverse mice were Diversity Outbred mice from generations 22-24, 26-28. The dietary restriction regimens included ad libitum feeding (control group), fasting one day per week, fasting two consecutive days per week, 20% caloric restriction, and 40% caloric restriction.	Mus musculus	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJNA890321	Swan metagenome	Metagenome of whooper swan and black swan	Cygnus atratus; Cygnus cygnus	ena_host_field	GUT	sample_fields	gut: stool
PRJNA1175865	128 Wild rodent gut flora metagenomes	A total of 128 wild rodents were captured, including Apodemus agrarius (n = 18), Rattus norvegicus (n = 30), Rattus flavipectus (n = 20), Mus musculus (n = 20), and Microtus fortis (n = 40), using peanuts or sunflower seeds as bait.	Alexandromys fortis; Apodemus agrarius; Mus musculus; Rattus flavipectus; Rattus norvegicus	ena_host_field	GUT	sample_fields	gut: cecum, gut
PRJNA792023	Ceca broiler chicken Raw sequence reads	Metagenome of ceca broiler chicken	Gallus gallus	ena_host_field	GUT	sample_fields	gut: caecal, ceca, gut
PRJEB89408	A molecular inventory of the faecal microbiomes of 23 marsupial species	Despite the recent expansion of culture-independent analyses of animal faecal microbiomes, many lineages remain understudied. Marsupials represent one such group, where despite their iconic status, direct sequencing-based analyses remain limited. Here we present a metagenomic and metabolomic exploration of the faecal microbiomes of 23 Diprotodontia marsupials, producing a catalogue of 3,868 prokaryotic and 12,142 viral metagenome-assembled genomes, the majority of which represent novel species. As with other animals, host phylogeny is the primary driver of microbiome composition, including distinct profiles for two distantly related eucalyptus folivore specialists (koalas and greater gliders), suggesting convergent solutions to this challenging diet. Expansion of several bacterial and viral lineages were observed in these and other marsupial hosts that likely provide adaptive benefits. Antimicrobial resistance genes were significantly more prevalent in captive than wild animals reflecting human intervention. This resource contributes an important chapter in our ongoing understanding of animal microbiomes.	Dactylopsila trivirgata; Dendrolagus lumholtzi; Lasiorhinus latifrons; Macropus giganteus; Notamacropus agilis; Notamacropus parma; Notamacropus rufogriseus; Onychogalea unguifera; Osphranter rufus; Petauroides volans	ena_study_text	GUT	sample_fields	gut: faeces
PRJNA1167890	Investigation of marsupial gut methanogens using metagenomic sequencing	Faecal samples from 33 marsupials were analysed using metagenomic sequencing to recover methanogenic archaeal genomes	Aepyprymnus rufescens; Dendrolagus lumholtzi; Diprotodontia; Isoodon macrourus; Lasiorhinus latifrons; Macropus giganteus; Petauroides volans; Petaurus australis; Petaurus gracilis; Petaurus norfolcensis; Phascolarctos cinereus; Potorous tridactylus; Sminthopsis crassicaudata; Thylogale stigmatica; Vombatus ursinus	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA340521	Capybara group fecal microbial communities from Wisconsin, USA - P827 metagenome metagenome	Metagenomics of fecal samples to identify conserved elements involved in cellulose degradation by mammalian Fibrobacteres	Hydrochoerus hydrochaeris	ena_study_text	GUT	sample_fields	gut: fecal, feces, gut
PRJNA752224	Microbiological characteristics of feces and rumen fluid of Angus cattle with high and low RFI	Residual Feed Intake (RFI) is the difference between the actual feed intake of an animal and the predicted intake based on weight gain rate and body size. After years of research and practice, RFI has become the main indicator of energy efficiency of livestock. And microorganisms play an important role in the conversion of feed into livestock products such as meat and milk. To investigate the correlation between RFI and its gastrointestinal microorganisms in beef cattle, 10 individuals with extreme high and low RFI were selected for this study, and individual rumen contents and fecal samples were collected for metagenomic sequencing after slaughter.	Bos taurus	ena_study_text	GUT	sample_fields	gut: gut
PRJNA543906	gut microbiota diversity between Hans and Tibetans	Host genetic and environmental factors shape the composition and function of gut microbiota in populations living at high altitude	Homo sapiens	ena_host_field	GUT	sample_fields	gut: fecal, gut
PRJNA1298916	Synthetic gut microbiotas infected with B. uniformis phage	Phages are under intense study as therapeutics and mediators of microbial community behavior however, tractable models are needed to study phages in the context of the mammalian gut. To address this gap, we isolated phages against members of a synthetic gut microbial community (sFMT), identifying the Bacteroides uniformis JEB00023 (DSM 6597) strain-specific phage HKP09. While resistance to HKP09 was observable within hours of infection in monoculture, high titers of HKP09 were maintained in vitro and in gnotobiotic mouse models over extended periods. Sequencing of resistant B. uniformis lines revealed phase variation upstream of a capsular polysaccharide locus driving the spontaneous regeneration of resistant and sensitive subpopulations, demonstrating a mechanism allowing persistence of both virus and host. Communities infected in vitro and in vivo with HKP09 showed reduced loads of B. uniformis DSM 6597 however, its impact in the gut was distinct from communities constructed without its host B. uniformis strain (sFMTdJEB00023). Rather than a compensatory increase in closely related Bacteroides strains, the most significant impacts were observed on distantly related strains, demonstrating that phage perturbations more broadly impact community structure in ways not easily predicted by phylogeny or simple strain exclusion. Metabolomic analyses of the feces of HKP09-infected sFMT-colonized gnotobiotic animals demonstrated a unique metabolite pool compared to uninfected mice and those colonized with sFMTdJEB00023. Taken together, these data demonstrate a controlled model for studying phages in the context of the mammalian gut and insights into the mechanisms through which predator-prey relationships impact the function of microbial communities.	Mus musculus	ena_host_field	GUT	sample_fields	gut: feces
PRJNA1088789	Snake gut microbes	Gut microbiological studies of Pareas chinensis, Elaphe taeniura, Rhabdophis chiwen, and Protobothrops jerdonii by macrogenomic sequencing	Elaphe taeniura; Pareas formosensis; Protobothrops jerdonii; Rhabdophis chiwen	ena_host_field	GUT	ena_study_text	gut: gut
