study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJEB39685	Gut Microbiomes of European Turkey and Veal Calf Herds	Shotgun metagenomics sequencing results for pooled fecal samples collected from turkey and veal calf herds in four European countries.	Bos taurus; Meleagris gallopavo	ena_host_field	GUT	sample_fields	gut: fecal, feces
PRJEB102366	Trial 2 - alternative proteins to reduce soybean inclusion in broiler diets	Effects on different types of alternative protein when fed at a 10% inclusion to broiler chickens. Caecal samples were taken at Day 10, 21 & 32.	Gallus gallus	biome_label	GUT	sample_fields	gut: gut
PRJNA1269114	IsoLoop Model	isoLoop model for human gut host-microbiota interface	Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut, ileum
PRJDB16790	Generic sample from human gut metagenome	Total microbial community DNA was isolated from Japanese fecal samples at Jikei University Kashiwa Hospital and Kobe University Hospital. This study population contains abdominal aortic aneurysm (AAA) patients and controls with coronary risk factors, such as hypertension, diabetes mellitus, or dyslipidemia, but without present or history of coronary or other vascular diseases.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJNA494824	Gut metagenomic raw sequence reads of cancer patients		Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces
PRJNA763692	A high-quality genome compendium of the human gut microbiome of Inner Mongolians	Metagenome-based resources have revealed the diversity and function of the human gut microbiome, but further understanding is limited by insufficient genome quality and a lack of samples from typically understudied populations. Here, we used hybrid long-read PromethION and short-read HiSeq sequencing to characterise the fecal microbiota of 60 individuals from Inner Mongolia (n=180 samples over three time points). We present Inner Mongolian Gut Genome (IMGG) catalog comprising a catalog of 802 closed and 5,927 high-quality metagenome-assembled genomes. The IMGG substantially increased resolution of genomic elements including ribosomal RNA operons (rrns), metabolic gene clusters (MGCs), prophages, and insertion sequences (IS). In particular, we report the rrn copy number for uncultured species and over 12,000 previously undescribed gut prophages and their protein-coding genes, and discloses the distribution and potential impact of IS elements across gut bacteria. Overall, these data provide a high-quality, large-scale resource for studying the human gut microbiota.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces, gut, stool
PRJNA624223	Gut microbiome alterations and longitudinal kinetics in COVID-19 patients	We aim to provide proof evidence of fecal microbiome alterations in COVID-19 and investigated microbiome and SARS-CoV-2 kinetics in 15 diagnosed COVID-19 cases	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut, stool
PRJNA598094	Metagenomes of bacteria colonizing the gut of Apis mellifera and Apis cerana Metagenome	Metagenomic samples isolated from the Eastern and Western honey bee (Apis</p><p>mellifera and Apis cerana), to study the evolution of the bacterial communities	Apis cerana japonica; Apis mellifera	ena_host_field	GUT	sample_fields	gut: gut
PRJNA919082	Types and characteristics of shared microbiota within families of ethnic minorities in Inner Mongolia	Gut microbial diversity is often studied from the perspective of community composition, but less is known about the genetic heterogeneity within species. The human gut microbiota exhibits substantial individual variation, influenced by numerous factors. This study characterized the gut microbial composition of 25 ethnic minority families from Inner Mongolia. We found that cohabitation within the same family was a more significant determinant of variation in both macrodiversity and microdiversity than other factors, including family role, ethnicity, sex, age, and geographical region. Based on average nucleotide identity, we identified 17 bacterial strains that were shared within families. Among these, Bifidobacterium adolescentis and Holdemanella biformis demonstrated higher average abundance, while Eubacterium rectale and Clostridiales bacterium were shared more frequently and across multiple families. Annotation against the Kyoto Encyclopedia of Genes and Genomes (KEGG) database revealed that most of these shared strains possess the genetic potential for the production or biosynthesis of short-chain fatty acids (SCFAs). Concurrently, computational analysis demonstrated that the genes of shared strains showed relatively low non-synonymous to synonymous polymorphism (pN/pS) ratios. Correlation network analysis indicated that, with the exception of Clostridiales bacterium, the shared strains generally did not occupy central nodes within the microbial interaction network. This research provides valuable insights into the patterns of gut microbiota sharing within families of Inner Mongolian ethnic minorities and offers a scientific basis for developing family-scale probiotic interventions.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: feces
PRJDB7378	Generic sample from human gut metagenome	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains health, gastrectomy.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1091038	Fallow deer faeces metagenome	Fecal samples grouped by mycotoxin content from fallow deer were shotgun sequenced.	Dama dama	ena_host_field	GUT	sample_fields	gut: feces
PRJNA415307	Metagenomes and Metatransciptomes from C. difficile infected murine cecal content	Clostridium difficile is the most common single cause of hospital-acquired infection over the last decade in the United States. Susceptibility is primarily associated with previous exposure to antibiotics, which compromise the structure and function of the gut bacterial community. While most antibiotics have been linked, specific classes correlate more strongly with recurrent or persistent C. difficile infection. In this study, we used a murine model of infection to explore the effect of distinct antibiotic classes on sustained C. difficile colonization, as well as the impact of infection on community-level gene expression and metabolism 18 hours post-infection. Utilizing metagenome-enable metatranscriptomics, supplemented by untargeted metabolomic analysis, we found that C. difficile infection has differentially larger impacts on the metabolic activity of the microbiota across multiple antibiotics that allow for persistent colonization. These differences were enriched in pathways associated with amino acid metabolism and particularly in non-dominant species. Conversely, in clindamycin pretreatment where C. difficile is cleared within 8 days, the effect of infection on the microbiota is only detectable in community structure but not in activity. Our results suggest that C. difficile is able to restructure the nutrient-niche landscape in certain gut environments in order to promote persistent infection.	Mus musculus	ena_host_field	GUT	sample_fields	gut: cecal, gut
PRJEB6070	Potential of fecal microbiota for early stage detection of colorectal cancer	Several bacterial species have been implicated in the development of colorectal carcinoma (CRC), but CRC-associated changes of fecal microbiota and their potential for cancer screening remain to be explored. Here we used metagenomic sequencing of fecal samples to identify taxonomic markers that distinguished CRC patients from tumor-free controls in a study population of 156 participants. Accuracy of metagenomic CRC detection was similar to the standard fecal occult blood test (FOBT) and when both approaches were combined, sensitivity improved >45% relative to the FOBT while maintaining its specificity. Accuracy of metagenomic CRC detection did not differ significantly between early and late-stage cancer and could be validated in independent patient and control populations (N=335) from different countries. CRC-associated changes in the fecal microbiome at least partially reflected microbial community composition at the tumor itself, indicating that observed gene pool differences may reveal tumor-related host-microbe interactions. Indeed, we deduced a metabolic shift from fiber degradation in controls to utilization of host carbohydrates and amino acids in CRC patients accompanied by an increase of lipopolysaccharide metabolism.	Homo sapiens	ena_study_text	GUT	sample_fields	gut: stool
